"product"	"equation_full"	"logK"	"contributing_logK"	"sources"	"reference_consolidated"
"(Cu2+ (Cu))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"1 (Cu2+ (Cu))(OH)(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)) + 1 H+ = (Cu2+ (Cu))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"8.5"	"8.5 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=966 ligand_id=8332 ligand_name=Aminomethylphosphonic acid (Gly-P) metal_id=41 metal=Cu2+ literature_ids=0"
"(Cu2+ (Cu))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))2"	"1 (Cu2+ (Cu)) + 2 (Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)) = (Cu2+ (Cu))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))2"	"14.1"	"14.1 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=840 ligand_id=8332 ligand_name=Aminomethylphosphonic acid (Gly-P) metal_id=41 metal=Cu2+ literature_ids=0"
"(Cu2+ (Cu))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))2"	"1 (Cu2+ (Cu)) + 2 (Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)) = (Cu2+ (Cu))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))2"	"14.65"	"14.65 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=840 ligand_id=8332 ligand_name=Aminomethylphosphonic acid (Gly-P) metal_id=41 metal=Cu2+ literature_ids=0"
"(Cu2+ (Cu))(H(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)))2"	"1 (Cu2+ (Cu))H(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))2 + 1 H+ = (Cu2+ (Cu))(H(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)))2"	"4.6"	"4.6 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=204 ligand_id=8332 ligand_name=Aminomethylphosphonic acid (Gly-P) metal_id=41 metal=Cu2+ literature_ids=0"
"(Cu2+ (Cu))H(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"1 (Cu2+ (Cu))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)) + 1 H+ = (Cu2+ (Cu))H(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"4.44"	"4.44 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=788 ligand_id=8332 ligand_name=Aminomethylphosphonic acid (Gly-P) metal_id=41 metal=Cu2+ literature_ids=0"
"(Mg2+ (Mg))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"1 (Mg2+ (Mg)) + 1 (Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)) = (Mg2+ (Mg))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"1.98"	"1.98 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=812 ligand_id=8332 ligand_name=Aminomethylphosphonic acid (Gly-P) metal_id=92 metal=Mg2+ literature_ids=0"
"(Mg2+ (Mg))H(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"1 (Mg2+ (Mg))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)) + 1 H+ = (Mg2+ (Mg))H(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"9.36"	"9.36 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=788 ligand_id=8332 ligand_name=Aminomethylphosphonic acid (Gly-P) metal_id=92 metal=Mg2+ literature_ids=0"
"(Mn2+ (Mn))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"1 (Mn2+ (Mn)) + 1 (Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)) = (Mn2+ (Mn))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"3.62"	"3.62 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=812 ligand_id=8332 ligand_name=Aminomethylphosphonic acid (Gly-P) metal_id=94 metal=Mn2+ literature_ids=0"
"(Mn2+ (Mn))(N,N-Bis(2-hydroxyethyl)aminomethylphosphonic acid (C5H14N1O5P1))"	"1 (Mn2+ (Mn)) + 1 (N,N-Bis(2-hydroxyethyl)aminomethylphosphonic acid (C5H14N1O5P1)) = (Mn2+ (Mn))(N,N-Bis(2-hydroxyethyl)aminomethylphosphonic acid (C5H14N1O5P1))"	"4.61"	"4.61 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=812 ligand_id=8415 ligand_name=N N-Bis(2-hydroxyethyl)aminomethylphosphonic acid metal_id=94 metal=Mn2+ literature_ids=0"
"(Mn2+ (Mn))H(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"1 (Mn2+ (Mn))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)) + 1 H+ = (Mn2+ (Mn))H(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"8.23"	"8.23 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=788 ligand_id=8332 ligand_name=Aminomethylphosphonic acid (Gly-P) metal_id=94 metal=Mn2+ literature_ids=0"
"(Ni2+ (Ni))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"1 (Ni2+ (Ni)) + 1 (Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)) = (Ni2+ (Ni))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"4.94"	"4.94 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=812 ligand_id=8332 ligand_name=Aminomethylphosphonic acid (Gly-P) metal_id=112 metal=Ni2+ literature_ids=0"
"(Ni2+ (Ni))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"1 (Ni2+ (Ni)) + 1 (Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)) = (Ni2+ (Ni))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"5.3"	"5.3 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=812 ligand_id=8332 ligand_name=Aminomethylphosphonic acid (Gly-P) metal_id=112 metal=Ni2+ literature_ids=0"
"(Ni2+ (Ni))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))2"	"1 (Ni2+ (Ni)) + 2 (Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)) = (Ni2+ (Ni))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))2"	"8.5"	"8.5 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=840 ligand_id=8332 ligand_name=Aminomethylphosphonic acid (Gly-P) metal_id=112 metal=Ni2+ literature_ids=0"
"(Ni2+ (Ni))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))2"	"1 (Ni2+ (Ni)) + 2 (Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)) = (Ni2+ (Ni))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))2"	"8.98"	"8.98 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=840 ligand_id=8332 ligand_name=Aminomethylphosphonic acid (Gly-P) metal_id=112 metal=Ni2+ literature_ids=0"
"(Ni2+ (Ni))(H(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)))2"	"1 (Ni2+ (Ni))H(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))2 + 1 H+ = (Ni2+ (Ni))(H(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)))2"	"6.2"	"6.2 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=204 ligand_id=8332 ligand_name=Aminomethylphosphonic acid (Gly-P) metal_id=112 metal=Ni2+ literature_ids=0"
"(Ni2+ (Ni))H(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"1 (Ni2+ (Ni))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)) + 1 H+ = (Ni2+ (Ni))H(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"6.32"	"6.32 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=788 ligand_id=8332 ligand_name=Aminomethylphosphonic acid (Gly-P) metal_id=112 metal=Ni2+ literature_ids=0"
"(Pd2+ (Pd))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))2"	"1 (Pd2+ (Pd)) + 2 (Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)) = (Pd2+ (Pd))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))2"	"27.51"	"27.51 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=840 ligand_id=8332 ligand_name=Aminomethylphosphonic acid (Gly-P) metal_id=127 metal=Pd2+ literature_ids=0"
"(Pd2+ (Pd))(H-2(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))) + 2H+"	"1 (Pd2+ (Pd)) + 1 (Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)) = (Pd2+ (Pd))(H-2(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))) + 2H+"	"4.73"	"4.73 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=152 ligand_id=8332 ligand_name=Aminomethylphosphonic acid (Gly-P) metal_id=127 metal=Pd2+ literature_ids=0"
"(Pt2+ (Pt))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))2"	"1 (Pt2+ (Pt)) + 2 (Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)) = (Pt2+ (Pt))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))2"	"21.62"	"21.62 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=840 ligand_id=8332 ligand_name=Aminomethylphosphonic acid (Gly-P) metal_id=146 metal=Pt2+ literature_ids=0"
